BARRIO;ESTA
la loma de los bernal;1
jesus nazareno;1
manrique oriental;1
las mercedes;1
doce de octubre no.2;1
berlin;1
barrio caicedo;1
la milagrosa;1
u.d. atanasio girardot;1
villa carlota;1
brasilia;1
las granjas;1
terminal de transporte;1
santa ines;1
popular;1
el raizal;1
villa flora;1
san pablo;1
aures no.1;1
cabecera san antonio de prado;0
moscu no.2;1
las brisas;1
cabecera urbana san cristobal;1
el pomar;1
la esperanza;1
aures no.2;1
guayaquil;1
versalles no.1;1
francisco antonio zea;1
san benito;1
el rincon;1
asomadera no.2;1
calasanz parte alta;1
betania;1
altos del poblado;1
altavista;1
manrique central no.1;1
girardot;1
campo amor;1
buenos aires;1
el diamante;1
kennedy;1
la castellana;1
la candelaria;1
san miguel;1
barrio colon;1
bello horizonte;1
estacion villa;1
alejandro echavarria;1
prado;1
cristo rey;1
santo domingo sabio no.1;1
cementerio universal;1
rosales;1
san isidro;1
el progreso;1
carlos e. restrepo;1
manrique central no.2;1
campo valdes no.1;1
toscana;1
la hondonada;1
campo valdes no.2;1
la pilarica;1
naranjal;1
san bernardo;1
la salle;1
guayabal;1
astorga;1
san diego;1
el poblado;1
la pradera;1
calle nueva;1
cucaracho;1
bombona no.2;1
belen;1
sevilla;1
barrio facultad de minas;1
el compromiso;1
pajarito;1
tricentenario;1
las lomas no.1;1
jardin botanico;1
castilla;1
cataluña;1
moscu no.1;1
moravia;1
barrio cristobal;1
caribe;1
manila;1
florida nueva;1
cordoba;1
san pedro;1
el velodromo;1
los balsos no.2;1
la florida;1
enciso;1
suramericana;1
el chagualo;1
villa nueva;1
perpetuo socorro;1
la floresta;1
boston;1
parque juan pablo ii;1
universidad nacional;1
buga patio bonito;1
santa fe;1
boyaca;1
santa maria de los angeles;1
la america;1
fatima;1
san joaquin;1
corazon de jesus;1
las estancias;1
robledo;1
granada;1
los conquistadores;1
las palmas;1
el pinal;1
lopez de mesa;0
los colores;1
san german;1
las acacias;1
san martin de porres;1
pedregal alto;1
santa teresita;1
la alpujarra;1
los angeles;1
alfonso lopez;1
la palma;1
florencia;1
el corazon;1
ferrini;1
barrio colombia;1
bolivariana;1
cerro nutibara;1
san javier no.2;1
tejelo;1
el danubio;1
villa hermosa;1
loreto;1
altamira;1
el pesebre;1
campo alegre;1
universidad de antioquia;1
la mota;1
belalcazar;1
la libertad;1
las playas;1
trinidad;1
santa cruz;1
la frontera;1
parque norte;1
el tesoro;0
la esperanza no.2;1
la gloria;1
veinte de julio;1
pedregal;1
facultad veterinaria y zootecnia u.de.a.;1
picacho;1
la aguacatala;1
suburbano el plan;1
carpinelo;1
bombona no.1;1
asomadera no.1;1
suburbano el tesoro;1
nueva villa de la iguana;1
santa monica;1
la rosa;1
palenque;1
juan pablo ii;1
la francia;1
b. cerro  el volador;1
la ladera;1
las violetas;1
miranda;1
laureles;1
los alcazares;1
castropol;1
hector abad gomez;1
las esmeraldas;1
el playon de los comuneros;1
granizal;1
villa del socorro;1
doce de octubre no.1;1
los balsos no.1;1
la mansion;1
diego echavarria;1
area de expansion san antonio de prado;1
tenche;1
pablo vi;1
aranjuez;1
picachito;1
el salvador;1
el nogal - los almendros;1
santa lucia;1
lorena;1
cuarta brigada;1
los pinos;1
area de expansion pajarito;1
los naranjos;1
andalucia;1
barrios de jesus;1
bosques de san pablo;1
sucre;1
el castillo;1
gerona;1
la colina;1
alejandria;1
san javier no.1;1
villa niza;1
llanaditas;1
simon bolivar;1
oleoducto;1
los alpes;1
la isla;1
miraflores;1
antonio nariño;1
area de expansion altavista;1
pedregal bajo;0
los cerros el vergel;1
villatina;1
palermo;1
oriente;1
los mangos;1
san jose la cima no.2;1
altavista sector central;1
bermejal - los alamos;1
asomadera no.3;1
la avanzada;1
calasanz;1
el diamante no.2;1
patio bonito;1
centro administrativo;1
el picacho;1
las independencias;1
villa turbay;1
trece de noviembre;1
olaya herrera;1
mirador del doce;1
santander;1
piedras blancas;0
nuevos conquistadores;1
las lomas no.2;1
area de expansion altos de calasanz;0
la piñuela;1
piedras blancas represa;1
el salado;1
el rodeo;1
villa guadalupe;1
suburbano travesias;0
aldea pablo vi;1
villa lilliam;1
el corazon el morro ;0
belencito;1
el triunfo;1
san lucas;1
plaza de ferias;1
juan xxiii la quiebra;1
aguas frias;1
hospital san vicente de paul;1
santo domingo sabio no.2;1
lalinde;1
versalles no.2;1
santa rosa de lima;1
ocho de marzo;1
blanquizal;1
santa margarita;1
suburbano la loma;0
suburbano altavista;0
nueva villa de aburra;0
monteclaro;1
eduardo santos;1
el socorro;1
suburbano mirador del poblado;0
la cruz;1
maria cano carambolas;0
san antonio;1
suburbano pedregal alto;0
miravalle;1
san jose la cima no.1;1
u.p.b.;1
suburbano palma patio;0
yolombo;1
metropolitano;1
media luna;1
la verde ;0
area de expansion belen rincon;1
la sierra;1
fuente clara;1
la loma oriental;0
potrerito;1
la oculta;0
suburbano palmitas;0
el vergel;0
suburbano el llano;1
piedras blancas - matasano;0
batallon girardot;1
suburbano chacaltaya;0
b. cerro el volador;1
travesias;1
piedra gorda;1
suburbano potrerito;0
san jose de la montaña;0
el uvito;1
volcana guayabal;1
el plan;0
el llano se;1
palmitas sector central;1
suburb el plan;0
el salado ;1
el astillero;1
suburbano aguas frias;0
yarumalito;1
