OBJECTID;CODIGO;NOMBRE;SUBTIPO_BA;NOMBRE_COM;SHAPEAREA;SHAPELEN;CLUSTER
661;1422;la aguacatala;1;El Poblado;62.209.015.610.524;330.265.805.243.148;2
662;810;el pinal;1;Villa Hermosa;413.416.804.617.475;327.157.455.337.274;1
663;719;fuente clara;1;Robledo;236.441.173.402.975;30.223.376.578.443;1
664;102;santo domingo sabio no.2;1;Popular;26.475.045.245.083;294.370.765.447.313;1
665;302;las granjas;1;Manrique;6.413.492.750.235;396.470.230.586.524;1
666;902;barrios de jesus;1;Buenos Aires;442.235.667.275.605;375.462.415.027.398;1
667;Inst_16;la alpujarra;1;La Candelaria;316.458.787.375.535;252.419.319.322.781;1
668;1008;corazon de jesus;1;La Candelaria;33.023.970.268.336;239.420.528.069.805;2
669;907;buenos aires;1;Buenos Aires;29.316.443.067.628;235.796.347.375.624;0
670;501;toscana;1;Castilla;29.005.395.460.347;257.400.441.672.397;1
671;1203;los pinos;1;La América;23.299.755.143.503;20.188.965.216.006.600;1
672;911;gerona;1;Buenos Aires;249.124.845.537.955;22.580.949.395.614.300;0
676;1609;la hondonada;1;Belén;462.119.349.110.795;4.476.375.031.847.240;0
677;806;llanaditas;1;Villa Hermosa;320.557.553.129.565;36.113.385.873.535;0
680;913;loreto;1;Buenos Aires;666.996.621.529.295;38.161.752.724.694.800;1
681;609;picachito;1;Doce de Octubre;123.730.748.112.665;19.584.932.988.370.300;0
673;1212;santa teresita;1;La América;31.765.917.366.041;334.072.866.198.805;0
674;513;francisco antonio zea;1;Castilla;233.064.848.602.055;22.570.108.407.296.300;0
675;1608;la mota;1;Belén;50.824.032.532.292;435.166.542.823.011;1
678;1315;nuevos conquistadores;1;San Javier;22.423.734.609.310.000;253.939.549.264.383;1
679;1204;la america;1;La América;35.844.104.256.529;331.166.048.133.769;1
682;415;miranda;1;Aranjuez;230.378.299.048.405;235.993.972.587.716;1
683;Inst_14;u.d. atanasio girardot;1;Laureles Estadio;41.779.653.938.985;3.340.183.293.805.580;1
684;1421;patio bonito;1;El Poblado;72.905.606.802.979;410.213.288.376.399;1
689;1413;el diamante no.2;1;El Poblado;66.103.427.470.397;37.422.905.190.154.200;1
690;1618;nueva villa del aburra;1;Belén;188.599.469.565.485;225.067.137.799.902;3
691;207;villa del socorro;1;Santa Cruz;229.628.060.828.555;25.504.182.465.483;1
692;811;trece de noviembre;1;Villa Hermosa;17.390.223.243.186;247.487.103.662.388;0
693;602;doce de octubre no.1;1;Doce de Octubre;43.628.250.898.358;3.074.309.785.369.920;1
694;1611;la loma de los bernal;1;Belén;48.503.368.102.197;39.866.542.612.782.100;1
695;901;juan pablo ii;1;Buenos Aires;75.047.226.330.735;20.183.180.977.280.100;0
696;715;villa flora;1;Robledo;25.077.910.248.598;215.165.053.952.776;0
697;1502;tenche;1;Guayabal;230.563.654.434.145;209.915.007.469.117;1
685;308;manrique oriental;1;Manrique;37.329.155.937.477;300.409.624.898.983;1
686;110;la esperanza no.2;1;Popular;67.338.260.559.075;12.996.741.385.346.300;1
687;604;pedregal;1;Doce de Octubre;5.810.571.775.886;36.254.419.834.597.200;1
688;1001;prado;1;La Candelaria;624.440.241.931.445;34.610.689.564.464.300;2
723;413;aranjuez;1;Aranjuez;36.113.851.094.988;25.570.834.504.281;1
724;307;manrique central no.2;1;Manrique;2.409.034.686.109;261.945.817.811.677;1
725;814;san antonio;1;Villa Hermosa;15.212.280.562.556;29.693.414.172.851.000;0
726;1610;el rincon;1;Belén;662.338.313.780.955;5.063.386.280.556.670;1
727;SN01;sin nombre;1;;526.126.526.212.035;133.315.978.186.361;3
728;1202;calasanz;1;La América;313.244.286.542.315;233.537.641.008.994;1
729;404;bermejal - los alamos;1;Aranjuez;159.810.329.342.175;19.440.260.810.433.100;1
730;1003;jesus nazareno;1;La Candelaria;30.518.755.921.968;262.760.113.400.574;2
731;917;ocho de marzo;1;Buenos Aires;5.806.927.346.124;152.765.307.522.304;1
698;1601;fatima;1;Belén;43.465.369.539.652;268.745.721.781.377;1
699;Inst_2;oleoducto;1;Castilla;28.817.660.522.474;25.029.482.297.262.600;1
700;505;boyaca;1;Castilla;25.639.889.420.215;25.959.714.664.027;1
701;109;aldea pablo vi;1;Popular;71.663.800.670.335;158.116.527.611.615;1
702;801;villa hermosa;1;Villa Hermosa;393.468.101.207;328.630.375.620.349;1
703;1406;las lomas no.1;1;El Poblado;48.614.504.934.742;29.889.343.561.306.800;0
705;1312;betania;1;San Javier;34.907.387.159.039;435.211.863.271.419;1
706;607;kennedy;1;Doce de Octubre;49.094.304.993.177;29.760.392.201.999.200;1
707;1504;santa fe;1;Guayabal;102.508.501.768.489;565.888.285.222.672;2
708;Inst_4;terminal de transporte;1;Castilla;215.849.362.104.375;200.572.134.286.406;2
709;Inst_5;barrio facultad de minas;1;Robledo;243.885.301.847.115;278.104.581.556.016;1
710;211;la rosa;1;Santa Cruz;16.618.141.510.357;232.801.350.025.547;1
711;1409;suburbano el tesoro;1;El Poblado;117.485.207.926.077;585.797.106.615.629;0
712;724;monteclaro;1;Robledo;429.504.630.484.525;347.686.168.394.413;0
713;802;la mansion;1;Villa Hermosa;24.660.362.863.866;220.213.986.579.537;0
641;Inst_15;u.p.b.;1;Laureles Estadio;216.528.298.225.885;187.214.966.332.678;1
642;Inst_18;cerro nutibara;1;Belén;399.181.972.171.245;28.403.577.695.154.800;1
643;610;mirador del doce;1;Doce de Octubre;648.257.526.395;133.638.239.227.994;1
644;1620;el nogal - los almendros;1;Belén;248.378.348.640.765;3.072.150.377.860.080;1
645;612;el triunfo;1;Doce de Octubre;117.075.026.323.775;173.004.422.781.281;0
646;808;enciso;1;Villa Hermosa;335.273.348.876.105;335.566.300.305.241;1
647;605;la esperanza;1;Doce de Octubre;40.538.273.022.165;271.123.314.688.593;1
648;815;las estancias;1;Villa Hermosa;30.201.214.053.153;506.409.455.441.831;1
649;203;pablo vi;1;Santa Cruz;7.773.938.690.625;140.603.301.032.162;1
650;Inst_7;b. cerro  el volador;1;Robledo;911.215.960.972.345;530.691.915.442.229;1
651;309;versalles no.1;1;Manrique;369.634.341.225.225;282.815.712.608.758;1
652;1408;altos del poblado;1;El Poblado;91.095.066.003.901;526.359.682.377.872;1
653;Inst_8;universidad nacional;1;Robledo;482.979.351.932.975;286.518.412.666.299;2
654;711;el diamante;1;Robledo;37.548.578.284.926;271.142.739.527.907;1
655;716;palenque;1;Robledo;382.414.167.556.665;41.549.515.083.829;1
656;1401;barrio colombia;1;El Poblado;40.168.105.832.273;28.496.649.408.796.300;1
657;1602;rosales;1;Belén;605.072.402.433.695;32.719.081.634.431.600;1
658;5003;urquita;2;Corregimiento de San Sebastián de Palmitas;554.935.660.023.795;165.936.739.083.859;3
659;5008;potrera miserenga;2;Corregimiento de San Sebastián de Palmitas;526.737.937.227.903;129.150.393.920.984;3
660;1507;campo amor;1;Guayabal;103.705.761.263.915;42.748.227.225.337;2
714;1417;la florida;1;El Poblado;767.666.054.557.015;40.652.356.458.749;1
715;1607;diego echavarria;1;Belén;31.783.253.461.885;293.772.653.821.203;1
716;1304;los alcazares;1;San Javier;272.545.859.055.815;293.885.385.249.044;1
717;410;campo valdes no.1;1;Aranjuez;372.180.945.070.915;266.732.320.269.488;1
718;514;lopez de mesa;1;Castilla;354.326.109.368.625;311.920.889.064.258;1
719;722;olaya herrera;1;Robledo;42.151.290.969.721;429.926.275.914.451;1
720;Inst_6;facultad veterinaria y zootecnia u.de.a.;1;Robledo;110.127.882.017.915;175.476.239.036.126;0
721;1420;astorga;1;El Poblado;22.221.642.242.836;200.548.208.157.053;0
722;517;caribe;1;Castilla;60.138.235.926.711;349.927.909.005.388;2
750;1313;el corazon;1;San Javier;203.072.385.480.205;326.643.803.869.284;1
751;1011;calle nueva;1;La Candelaria;22.917.217.681.194;22.975.803.124.438.600;1
752;204;la frontera;1;Santa Cruz;16.257.693.917.409;184.346.846.476.465;1
753;504;tejelo;1;Castilla;42.303.730.812.235;343.480.193.725.032;1
754;1111;lorena;1;Laureles Estadio;410.861.402.649.785;33.405.172.128.836.100;1
