NUM_SEMANA,FECHAS_ESPECIALES,DIA,MES,PERIODO,BARRIO,SUMA_atropello,SUMA_caidaocupante,SUMA_choque,SUMA_otro,SUMA_volcamiento,SUMA_incendio,SUMA_choque y atropello
209,1.0,1.0,1.0,2018.0,aranjuez,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,area de expansion pajarito,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,asomadera no.2,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,aures no.1,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,belen,0,0,1,0,1,0,0
209,1.0,1.0,1.0,2018.0,boston,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,brasilia,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,cabecera san antonio de prado,1,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,campo alegre,0,0,0,1,0,0,0
209,1.0,1.0,1.0,2018.0,campo amor,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,campo valdes no.1,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,campo valdes no.2,0,0,2,0,0,0,0
209,1.0,1.0,1.0,2018.0,cementerio universal,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,el chagualo,0,1,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,el diamante,0,1,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,el pinal,1,0,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,el progreso,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,el rincon,0,0,0,2,0,0,0
209,1.0,1.0,1.0,2018.0,el tesoro,0,0,0,1,0,0,0
209,1.0,1.0,1.0,2018.0,el velodromo,1,0,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,enciso,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,facultad veterinaria y zootecnia u.de.a.,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,fatima,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,florencia,1,0,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,gerona,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,girardot,0,1,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,granada,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,guayabal,0,0,0,1,0,0,0
209,1.0,1.0,1.0,2018.0,jesus nazareno,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,la avanzada,1,0,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,la colina,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,la ladera,0,1,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,la loma de los bernal,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,la mota,0,0,2,0,0,0,0
209,1.0,1.0,1.0,2018.0,las brisas,0,0,0,1,0,0,0
209,1.0,1.0,1.0,2018.0,las granjas,0,0,0,1,0,0,0
209,1.0,1.0,1.0,2018.0,las playas,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,lopez de mesa,0,1,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,los alpes,0,1,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,los angeles,0,0,0,1,0,0,0
209,1.0,1.0,1.0,2018.0,los colores,0,0,1,1,0,0,0
209,1.0,1.0,1.0,2018.0,los mangos,0,0,0,1,0,0,0
209,1.0,1.0,1.0,2018.0,miranda,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,perpetuo socorro,1,0,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,robledo,0,1,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,san diego,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,san joaquin,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,san martin de porres,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,santa lucia,1,0,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,santo domingo sabio no.1,1,0,0,0,0,0,0
209,1.0,1.0,1.0,2018.0,tejelo,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,toscana,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,universidad de antioquia,0,0,1,0,0,0,0
209,1.0,1.0,1.0,2018.0,versalles no.1,0,0,1,1,0,0,0
209,1.0,1.0,1.0,2018.0,villa guadalupe,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,alejandro echavarria,0,0,0,1,0,0,0
213,0.0,1.0,2.0,2018.0,alfonso lopez,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,area de expansion pajarito,0,1,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,asomadera no.3,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,barrio colombia,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,barrio colon,0,0,3,0,0,0,0
213,0.0,1.0,2.0,2018.0,belalcazar,1,0,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,belen,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,berlin,0,0,0,1,0,0,0
213,0.0,1.0,2.0,2018.0,bolivariana,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,boston,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,boyaca,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,buenos aires,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,cabecera san antonio de prado,0,0,4,0,0,0,0
213,0.0,1.0,2.0,2018.0,calle nueva,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,campo amor,0,0,3,0,0,0,0
213,0.0,1.0,2.0,2018.0,campo valdes no.1,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,caribe,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,castilla,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,castropol,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,cementerio universal,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,corazon de jesus,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,cuarta brigada,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,cucaracho,0,1,0,1,0,0,0
213,0.0,1.0,2.0,2018.0,enciso,0,0,0,1,0,0,0
213,0.0,1.0,2.0,2018.0,estacion villa,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,gerona,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,guayabal,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,guayaquil,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,jesus nazareno,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,la aguacatala,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,la alpujarra,1,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,la candelaria,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,la florida,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,la gloria,1,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,la hondonada,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,la milagrosa,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,la oculta,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,la palma,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,la pilarica,0,0,0,1,0,0,0
213,0.0,1.0,2.0,2018.0,la piñuela,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,las mercedes,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,las palmas,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,laureles,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,lopez de mesa,0,0,0,0,1,0,0
213,0.0,1.0,2.0,2018.0,lorena,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,los angeles,0,0,0,0,1,0,0
213,0.0,1.0,2.0,2018.0,los colores,0,1,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,los conquistadores,0,0,3,0,0,0,0
213,0.0,1.0,2.0,2018.0,los pinos,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,manrique central no.1,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,manrique oriental,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,miranda,0,1,0,1,0,0,0
213,0.0,1.0,2.0,2018.0,moscu no.2,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,naranjal,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,parque norte,1,0,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,pedregal,0,0,1,1,0,0,0
213,0.0,1.0,2.0,2018.0,perpetuo socorro,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,piedras blancas,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,san benito,0,1,1,1,0,0,0
213,0.0,1.0,2.0,2018.0,san diego,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,san joaquin,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,san pedro,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,santa fe,0,0,2,0,0,0,0
213,0.0,1.0,2.0,2018.0,santa maria de los angeles,0,0,0,2,0,0,0
213,0.0,1.0,2.0,2018.0,santander,1,0,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,simon bolivar,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,suburbano mirador del poblado,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,sucre,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,suramericana,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,tejelo,0,1,0,0,0,0,0
213,0.0,1.0,2.0,2018.0,terminal de transporte,0,0,1,0,0,0,0
213,0.0,1.0,2.0,2018.0,universidad de antioquia,0,0,1,0,0,0,0
