OBJECTID,CODIGO,NOMBRE,SUBTIPO_BA,NOMBRE_COM,SHAPEAREA,SHAPELEN
661,1422,la aguacatala,1,El Poblado,622090.15610524,3302.65805243148
662,0810,el pinal,1,Villa Hermosa,413416.804617475,3271.57455337274
663,0719,fuente clara,1,Robledo,236441.173402975,3022.3376578443
664,0102,santo domingo sabio no.2,1,Popular,264750.45245083,2943.70765447313
665,0302,las granjas,1,Manrique,641349.2750235,3964.70230586524
666,0902,barrios de jesus,1,Buenos Aires,442235.667275605,3754.6241502739795
667,Inst_16,la alpujarra,1,La Candelaria,316458.787375535,2524.19319322781
668,1008,corazon de jesus,1,La Candelaria,330239.70268336,2394.20528069805
669,0907,buenos aires,1,Buenos Aires,293164.43067628,2357.96347375624
670,0501,toscana,1,Castilla,290053.95460347,2574.00441672397
671,1203,los pinos,1,La América,232997.55143503,2018.8965216006693
672,0911,gerona,1,Buenos Aires,249124.845537955,2258.0949395614302
676,1609,la hondonada,1,Belén,462119.349110795,4476.375031847249
677,0806,llanaditas,1,Villa Hermosa,320557.553129565,3611.3385873535
680,0913,loreto,1,Buenos Aires,666996.621529295,3816.1752724694898
681,0609,picachito,1,Doce de Octubre,123730.748112665,1958.4932988370301
673,1212,santa teresita,1,La América,317659.17366041,3340.72866198805
674,0513,francisco antonio zea,1,Castilla,233064.848602055,2257.0108407296398
675,1608,la mota,1,Belén,508240.32532292,4351.66542823011
678,1315,nuevos conquistadores,1,San Javier,224237.34609310003,2539.39549264383
679,1204,la america,1,La América,358441.04256529,3311.66048133769
682,0415,miranda,1,Aranjuez,230378.299048405,2359.93972587716
683,Inst_14,u.d. atanasio girardot,1,Laureles Estadio,417796.53938985,3340.183293805589
684,1421,patio bonito,1,El Poblado,729056.06802979,4102.13288376399
689,1413,el diamante no.2,1,El Poblado,661034.27470397,3742.2905190154297
690,1618,nueva villa del aburra,1,Belén,188599.469565485,2250.6713779990196
691,0207,villa del socorro,1,Santa Cruz,229628.060828555,2550.4182465483
692,0811,trece de noviembre,1,Villa Hermosa,173902.23243186,2474.87103662388
693,0602,doce de octubre no.1,1,Doce de Octubre,436282.50898358,3074.309785369929
694,1611,la loma de los bernal,1,Belén,485033.68102197,3986.6542612782105
695,0901,juan pablo ii,1,Buenos Aires,75047.226330735,2018.3180977280106
696,0715,villa flora,1,Robledo,250779.10248598,2151.65053952776
697,1502,tenche,1,Guayabal,230563.654434145,2099.15007469117
685,0308,manrique oriental,1,Manrique,373291.55937477,3004.09624898983
686,0110,la esperanza no.2,1,Popular,67338.260559075,1299.6741385346302
687,0604,pedregal,1,Doce de Octubre,581057.1775886,3625.4419834597297
688,1001,prado,1,La Candelaria,624440.241931445,3461.0689564464396
723,0413,aranjuez,1,Aranjuez,361138.51094988,2557.0834504281
724,0307,manrique central no.2,1,Manrique,240903.46861089996,2619.45817811677
725,0814,san antonio,1,Villa Hermosa,152122.80562556,2969.3414172851008
726,1610,el rincon,1,Belén,662338.313780955,5063.386280556671
727,SN01,sin nombre,1,,526126.526212035,13331.5978186361
728,1202,calasanz,1,La América,313244.286542315,2335.37641008994
729,0404,bermejal - los alamos,1,Aranjuez,159810.329342175,1944.0260810433106
730,1003,jesus nazareno,1,La Candelaria,305187.55921968,2627.60113400574
731,0917,ocho de marzo,1,Buenos Aires,58069.27346124,1527.65307522304
698,1601,fatima,1,Belén,434653.69539652,2687.45721781377
699,Inst_2,oleoducto,1,Castilla,288176.60522474,2502.9482297262603
700,0505,boyaca,1,Castilla,256398.89420215,2595.9714664027
701,0109,aldea pablo vi,1,Popular,71663.800670335,1581.16527611615
702,0801,villa hermosa,1,Villa Hermosa,393468.101207,3286.30375620349
703,1406,las lomas no.1,1,El Poblado,486145.04934742,2988.9343561306896
705,1312,betania,1,San Javier,349073.87159039,4352.11863271419
706,0607,kennedy,1,Doce de Octubre,490943.04993177,2976.0392201999202
707,1504,santa fe,1,Guayabal,1025085.01768489,5658.88285222672
708,Inst_4,terminal de transporte,1,Castilla,215849.362104375,2005.72134286406
709,Inst_5,facultad de minas,1,Robledo,243885.301847115,2781.04581556016
710,0211,la rosa,1,Santa Cruz,166181.41510357,2328.01350025547
711,1409,suburbano el tesoro,1,El Poblado,1174852.07926077,5857.97106615629
712,0724,monteclaro,1,Robledo,429504.630484525,3476.86168394413
713,0802,la mansion,1,Villa Hermosa,246603.62863866,2202.13986579537
641,Inst_15,u.p.b.,1,Laureles Estadio,216528.298225885,1872.14966332678
642,Inst_18,cerro nutibara,1,Belén,399181.972171245,2840.3577695154804
643,0610,mirador del doce,1,Doce de Octubre,64825.752639499995,1336.38239227994
644,1620,el nogal - los almendros,1,Belén,248378.348640765,3072.150377860089
645,0612,el triunfo,1,Doce de Octubre,117075.026323775,1730.04422781281
646,0808,enciso,1,Villa Hermosa,335273.348876105,3355.66300305241
647,0605,la esperanza,1,Doce de Octubre,405382.73022165,2711.23314688593
648,0815,las estancias,1,Villa Hermosa,302012.14053153,5064.09455441831
649,0203,pablo vi,1,Santa Cruz,77739.38690625,1406.03301032162
650,Inst_7,b. cerro  el volador,1,Robledo,911215.960972345,5306.91915442229
651,0309,versalles no.1,1,Manrique,369634.341225225,2828.15712608758
652,1408,altos del poblado,1,El Poblado,910950.66003901,5263.59682377872
653,Inst_8,universidad nacional,1,Robledo,482979.351932975,2865.18412666299
654,0711,el diamante,1,Robledo,375485.78284926,2711.42739527907
655,0716,palenque,1,Robledo,382414.167556665,4154.9515083829
656,1401,barrio colombia,1,El Poblado,401681.05832273,2849.6649408796397
657,1602,rosales,1,Belén,605072.402433695,3271.9081634431604
658,5003,urquita,2,Corregimiento de San Sebastián de Palmitas,5549356.60023795,16593.6739083859
659,5008,potrera miserenga,2,Corregimiento de San Sebastián de Palmitas,5267379.37227903,12915.0393920984
660,1507,campo amor,1,Guayabal,1037057.61263915,4274.8227225337
714,1417,la florida,1,El Poblado,767666.054557015,4065.2356458749
715,1607,diego echavarria,1,Belén,317832.53461885,2937.72653821203
716,1304,los alcazares,1,San Javier,272545.859055815,2938.85385249044
717,0410,campo valdes no.1,1,Aranjuez,372180.945070915,2667.32320269488
718,0514,alfonso lopez,1,Castilla,354326.109368625,3119.20889064258
719,0722,olaya herrera,1,Robledo,421512.90969721,4299.26275914451
720,Inst_6,facultad veterinaria y zootecnia u.de.a.,1,Robledo,110127.882017915,1754.76239036126
721,1420,astorga,1,El Poblado,222216.42242836,2005.48208157053
722,0517,caribe,1,Castilla,601382.35926711,3499.27909005388
750,1313,el corazon,1,San Javier,203072.385480205,3266.43803869284
751,1011,calle nueva,1,La Candelaria,229172.17681194,2297.5803124438603
752,0204,la frontera,1,Santa Cruz,162576.93917409,1843.46846476465
753,0504,tejelo,1,Castilla,423037.30812235,3434.80193725032
754,1111,lorena,1,Laureles Estadio,410861.402649785,3340.5172128836102
755,0205,la francia,1,Santa Cruz,341808.6986469,2982.29374719609
756,Inst_1,plaza de ferias,1,Castilla,339279.59712522,2625.52464248744
757,0908,miraflores,1,Buenos Aires,291109.28555398,2496.70662959352
758,1017,los angeles,1,La Candelaria,237106.228861835,2424.55623535478
759,1416,alejandria,1,El Poblado,432152.307971235,2774.70623075445
760,1305,metropolitano,1,San Javier,106982.478582215,1586.9184326936902
